name,description,image
Gotthard Pass,"The first of Switzerlands major alpine passes turns out to be one of the least attractive</p><p>Read more about the pass in our book <b><a href=""https://mixam.co.uk/print-on-demand/66b9d21810fd3302cc68285e"">Swiss Passes</a></b>",img/passes/gott.jpg
Grimsel Pass,"The Grimsel was fought over for years but lost to an unexpected victor - hydroelectricity</p><p>Read more about the pass in our book <b><a href=""https://mixam.co.uk/print-on-demand/66b9d21810fd3302cc68285e"">Swiss Passes</a></b>",img/passes/grim.jpg
Jaun Pass,"Classic Swiss scenery through rolling pastures make this a surprisingly great pass</p><p>Read more about the pass in our book <b><a href=""https://mixam.co.uk/print-on-demand/66b9d21810fd3302cc68285e"">Swiss Passes</a></b>",img/passes/jaun.jpg
Julier Pass,"One of the faster smoother passes with a spectacular finale at the Silvaplana lakes</p><p>Read more about the pass in our book <b><a href=""https://mixam.co.uk/print-on-demand/66b9d21810fd3302cc68285e"">Swiss Passes</a></b>",img/passes/juli.jpg
Maloja Pass,"The gateway to St. Moritz from Italy - the pass is famous for its last hairpin bends</p><p>Read more about the pass in our book <b><a href=""https://mixam.co.uk/print-on-demand/66b9d21810fd3302cc68285e"">Swiss Passes</a></b>",img/passes/malo.jpg
Nufenen Pass,"The Nufenen Pass is the second-highest mountain pass in Switzerland</p><p>Read more about the pass in our book <b><a href=""https://mixam.co.uk/print-on-demand/66b9d21810fd3302cc68285e"">Swiss Passes</a></b>",img/passes/nufe.jpg
Oberalp Pass,"The importance of the Oberalp Pass has grown over time thanks to the rise of tourism</p><p>Read more about the pass in our book <b><a href=""https://mixam.co.uk/print-on-demand/66b9d21810fd3302cc68285e"">Swiss Passes</a></b>",img/passes/ober.jpg
Ofen Pass,"The only road through Switzerland’s National Park</p><p>Read more about the pass in our book <b><a href=""https://mixam.co.uk/print-on-demand/66b9d21810fd3302cc68285e"">Swiss Passes</a></b>",img/passes/ofen.jpg
Pas-de-Morgins,"An old smuggling route is now a pass without frontiers</p><p>Read more about the pass in our book <b><a href=""https://mixam.co.uk/print-on-demand/66b9d21810fd3302cc68285e"">Swiss Passes</a></b>",img/passes/pasd.jpg
San Bernardino Pass,"Already a modern road - the pass now has an even more modern bypass</p><p>Read more about the pass in our book <b><a href=""https://mixam.co.uk/print-on-demand/66b9d21810fd3302cc68285e"">Swiss Passes</a></b>",img/passes/sanb.jpg
Simplon Pass,"Kasper Stockeralper transformed the Simplon Pass from a smuggler's den to an all-year trade route</p><p>Read more about the pass in our book <b><a href=""https://mixam.co.uk/print-on-demand/66b9d21810fd3302cc68285e"">Swiss Passes</a></b>",img/passes/simp.jpg
Splügen Pass,"A tale of two passes - the Swiss and Italian sides of the Splügen are different animals</p><p>Read more about the pass in our book <b><a href=""https://mixam.co.uk/print-on-demand/66b9d21810fd3302cc68285e"">Swiss Passes</a></b>",img/passes/splu.jpg
Susten Pass,"The most modern Swiss Pass - the road was built for the age of tourism</p><p>Read more about the pass in our book <b><a href=""https://mixam.co.uk/print-on-demand/66b9d21810fd3302cc68285e"">Swiss Passes</a></b>",img/passes/sust.jpg
Umbrail Pass,"Highest of the Swiss Passes</p><p>Altitude: 2503m / Distance: 17km</p><p>Read more about the pass in our book <b><a href=""https://mixam.co.uk/print-on-demand/66b9d21810fd3302cc68285e"">Swiss Passes</a></b>",img/passes/umbr.jpg
